date,Outflows_acft,LO_Outflows_cmd
10/18/2009,493.309715,608487.6672
10/19/2009,2187.750434,2698546.405
10/20/2009,2906.541943,3585161.356
10/21/2009,3789.941861,4674817.487
10/22/2009,4251.357252,5243964.143
10/23/2009,3058.654563,3772789.231
10/24/2009,1629.026401,2009371.486
10/25/2009,1108.761111,1367634.655
10/26/2009,1217.852065,1502196.165
10/27/2009,2724.874597,3361078.318
10/28/2009,2787.055741,3437777.515
10/29/2009,1839.214224,2268633.961
10/30/2009,1481.653902,1827590.455
10/31/2009,1858.275967,2292146.24
11/1/2009,1825.152078,2251288.586
11/2/2009,2113.172306,2606555.776
11/3/2009,3745.272433,4619718.641
11/4/2009,3847.877287,4746279.676
11/5/2009,2656.624036,3276892.616
11/6/2009,2615.744375,3226468.372
11/7/2009,2270.343037,2800422.729
11/8/2009,2180.471714,2689568.25
11/9/2009,4179.773514,5155667.034
11/10/2009,3999.972246,4933885.766
11/11/2009,2474.4427,3052175.582
11/12/2009,3456.181531,4263130.794
11/13/2009,3992.175887,4924269.114
11/14/2009,3575.786343,4410660.939
11/15/2009,3504.937157,4323269.884
11/16/2009,5063.927214,6246252.94
11/17/2009,6044.715005,7456035.065
11/18/2009,5835.458518,7197921.373
11/19/2009,4732.706533,5837698.855
11/20/2009,4710.312952,5810076.82
11/21/2009,3713.596937,4580647.55
11/22/2009,3224.512179,3977371.282
11/23/2009,3319.441918,4094465.217
11/24/2009,3256.545313,4016883.513
11/25/2009,1594.711507,1967044.75
11/26/2009,840.9921399,1037346.985
11/27/2009,812.8264245,1002605.138
11/28/2009,1289.256912,1590272.615
11/29/2009,1515.967969,1869916.171
11/30/2009,1320.99261,1629417.965
12/1/2009,1018.909932,1256805.023
12/2/2009,1205.951015,1487516.459
12/3/2009,1214.064012,1497523.677
12/4/2009,539.5048839,665468.4842
12/5/2009,476.0337671,587178.1311
12/6/2009,156.6944484,193279.4682
12/7/2009,208.6614444,257379.7185
12/8/2009,312.9921928,386069.6099
12/9/2009,696.1992996,858747.912
12/10/2009,825.1251115,1017775.323
12/11/2009,827.7037019,1020955.962
12/12/2009,1017.522096,1255093.155
12/13/2009,680.3315139,839175.3157
12/14/2009,803.3067634,990862.8265
12/15/2009,624.7941986,770671.1481
12/16/2009,228.2978311,281600.8087
12/17/2009,136.8597081,168813.7127
12/18/2009,69.42159104,85630.14412
12/19/2009,168.5952925,207958.9214
12/20/2009,146.7770782,181046.5904
12/21/2009,140.8266561,173706.8638
12/22/2009,196.3639289,242210.9791
12/23/2009,287.6037343,354753.4542
12/24/2009,281.6532698,347413.6752
12/25/2009,283.636721,349860.2226
12/26/2009,138.8431266,171260.2198
12/27/2009,214.4135129,264474.7799
12/28/2009,365.5542366,450903.8398
12/29/2009,573.2231916,707059.3424
12/30/2009,1100.826621,1357847.62
12/31/2009,543.4715512,670361.289
1/1/2010,323.3061722,398791.6973
1/2/2010,247.9342015,305821.8789
1/3/2010,1222.493479,1507921.257
1/4/2010,2375.287982,2929870.22
1/5/2010,3090.826208,3812472.312
1/6/2010,3372.380252,4159763.594
1/7/2010,2930.440902,3614640.244
1/8/2010,1370.618301,1690630.263
1/9/2010,653.5744655,806171.0317
1/10/2010,665.7131177,821143.8164
1/11/2010,1678.433852,2070314.587
1/12/2010,1342.810061,1656329.354
1/13/2010,876.6943265,1081384.918
1/14/2010,769.5869476,949270.1081
1/15/2010,1267.438041,1563359.475
1/16/2010,1271.404979,1568252.614
1/17/2010,561.1238858,692135.0907
1/18/2010,388.7602701,479528.0179
1/19/2010,346.1156486,426926.7302
1/20/2010,557.3554516,687486.8025
1/21/2010,672.3970465,829388.309
1/22/2010,384.7939193,474635.6036
1/23/2010,283.6367863,349860.3031
1/24/2010,781.8060909,964342.177
1/25/2010,307.4384746,379219.2097
1/26/2010,0,0
