date,NH4_Load_mg
7/23/2018,462098847.5
7/24/2018,708164289.4
7/25/2018,483182010.4
7/26/2018,480141873.4
7/27/2018,981548779.6
7/28/2018,1900499195
7/29/2018,1324558415
7/30/2018,1739472175
7/31/2018,1867149216
8/1/2018,1742603804
8/2/2018,1416720180
8/3/2018,1227578891
8/4/2018,1244231166
8/5/2018,987994174.8
8/6/2018,882252936.6
8/7/2018,678479465.2
8/8/2018,423693089.6
8/9/2018,535523337.4
8/10/2018,782651275.6
8/11/2018,356190813.8
8/12/2018,463486165.3
8/13/2018,829750053.3
8/14/2018,814514921.3
8/15/2018,605799623.9
8/16/2018,554043078.4
8/17/2018,328496620.2
8/18/2018,471892511.8
8/19/2018,632920268.5
8/20/2018,688528638.3
8/21/2018,951140997.8
8/22/2018,989569625.1
8/23/2018,1148797783
8/24/2018,1349423055
8/25/2018,1080081564
8/26/2018,1094075503
8/27/2018,1305487962
8/28/2018,1319366466
8/29/2018,1057494253
8/30/2018,1213756123
8/31/2018,1471330969
9/1/2018,1461566805
9/2/2018,1216862803
9/3/2018,1406005464
9/4/2018,1575111879
9/5/2018,1146219714
9/6/2018,1535563183
9/7/2018,1235394816
9/8/2018,1441609283
9/9/2018,1551048825
9/10/2018,1608676815
9/11/2018,1278532580
9/12/2018,1191867680
9/13/2018,1097278203
9/14/2018,907535085.9
9/15/2018,1069962207
9/16/2018,1048635415
9/17/2018,878718614.6
9/18/2018,715322680.5
9/19/2018,566609494.4
9/20/2018,491484765.6
9/21/2018,526248102.5
9/22/2018,786258736.8
9/23/2018,907830663
9/24/2018,878197020
9/25/2018,868012593.5
9/26/2018,758112502.2
9/27/2018,742071562.6
9/28/2018,715976403.7
9/29/2018,795091560.1
9/30/2018,544303112.7
10/1/2018,422799790.7
10/2/2018,412858302.3
10/3/2018,373959500.4
10/4/2018,395670165.4
10/5/2018,368043579.4
10/6/2018,343075313
10/7/2018,303478078.5
10/8/2018,343775327.2
10/9/2018,328935860.9
10/10/2018,298716004.4
10/11/2018,356822701.4
10/12/2018,317604609.2
10/13/2018,374441152.5
10/14/2018,317332710.7
10/15/2018,308075851
10/16/2018,311694514.5
10/17/2018,305905528.8
10/18/2018,299875143
10/19/2018,285530616.3
10/20/2018,293617690.5
10/21/2018,295668521.9
10/22/2018,292887436.6
10/23/2018,293826407.8
10/24/2018,294286514.3
10/25/2018,195795229.4
10/26/2018,153454152.2
10/27/2018,85337322.23
10/28/2018,104458024.9
10/29/2018,57730913.47
10/30/2018,97359735.16
10/31/2018,129171586.5
11/1/2018,177357017.5
11/2/2018,162816360.1
11/3/2018,345263732.9
11/4/2018,247350975.4
11/5/2018,258441065.4
11/6/2018,284664373.8
11/7/2018,282651382.1
11/8/2018,201484665.1
11/9/2018,277917863.7
11/10/2018,373916299.1
11/11/2018,396730161.3
11/12/2018,266879529.6
11/13/2018,324355876.1
11/14/2018,345027011.2
11/15/2018,360919645.7
11/16/2018,334724972.4
11/17/2018,304563883.9
11/18/2018,301090728.1
11/19/2018,415864146.2
11/20/2018,322995795.1
