date,Inflows_cmd
2018-02-18,3026683.074008966
2018-02-19,2941101.861401494
2018-02-20,2886151.7746329457
2018-02-21,2995684.96183811
2018-02-22,3065192.1731067887
2018-02-23,2670388.277210039
2018-02-24,2564549.419079691
2018-02-25,2459566.862390534
2018-02-26,2000980.7420033058
2018-02-27,2410806.6117539695
2018-02-28,2283046.436729323
2018-03-01,2194896.319798292
2018-03-02,1942434.189181788
2018-03-03,2037948.498506997
2018-03-04,1910041.5289495664
2018-03-05,1276500.7912507204
2018-03-06,1320759.342882205
2018-03-07,1466134.861839785
2018-03-08,1238799.0620831624
2018-03-09,929405.118505651
2018-03-10,1076077.32250274
2018-03-11,1040626.4428377197
2018-03-12,1091980.0635533
2018-03-13,838392.508185523
2018-03-14,841891.1112166464
2018-03-15,836117.1929275196
2018-03-16,620794.0791029375
2018-03-17,1043880.3883142214
2018-03-18,860313.8250798336
2018-03-19,1039207.4290209032
2018-03-20,1065899.5682303812
2018-03-21,1121657.0249291905
2018-03-22,852093.3312444672
2018-03-23,1100347.3519214394
2018-03-24,1390291.019906342
2018-03-25,1286531.750990304
2018-03-26,1082609.6792111993
2018-03-27,1261038.4337984838
2018-03-28,1204131.0865929397
2018-03-29,1369397.2647414524
2018-03-30,1184925.4685549568
2018-03-31,1010117.6457761088
2018-04-01,758854.3371772602
