date,Load_mg
9/1/2012,488440256.9
9/2/2012,429182296.2
9/3/2012,367192833.7
9/4/2012,322877626.7
9/5/2012,297100852.7
9/6/2012,307176057.3
9/7/2012,322201383.9
9/8/2012,295812678.3
9/9/2012,258084490.9
9/10/2012,229311095.4
9/11/2012,191138016.1
9/12/2012,177354414.3
9/13/2012,154395729.8
9/14/2012,129782201.5
9/15/2012,119540176.9
9/16/2012,120042687.6
9/17/2012,116712061.3
9/18/2012,97186861.15
9/19/2012,102650469.9
9/20/2012,100918145
9/21/2012,110221877.6
9/22/2012,125815255.1
9/23/2012,121146913.9
9/24/2012,123108518.7
9/25/2012,102085364.3
9/26/2012,98764979.33
9/27/2012,100585395.5
9/28/2012,85149892.26
9/29/2012,68874217.52
9/30/2012,53614845.31
10/1/2012,48106190.78
10/2/2012,46377027.15
10/3/2012,41967500
10/4/2012,43111129.93
10/5/2012,46951532.57
10/6/2012,55208351.76
10/7/2012,64466767.94
10/8/2012,71004963.58
10/9/2012,67037352.99
10/10/2012,61715218.5
10/11/2012,56360876.74
10/12/2012,52350728.59
10/13/2012,42131062.66
10/14/2012,38136235.25
10/15/2012,32652754.42
10/16/2012,25244753.78
10/17/2012,25765260.91
10/18/2012,25991311.84
10/19/2012,32210341.28
10/20/2012,29294299.57
10/21/2012,19428700.29
10/22/2012,16894374.12
10/23/2012,15237655.22
10/24/2012,16764626.8
10/25/2012,17163516.65
10/26/2012,15269420.33
10/27/2012,16078430.16
10/28/2012,14186173.58
10/29/2012,10487968.45
10/30/2012,6889110.937
10/31/2012,6195962.357
11/1/2012,6930545.686
11/2/2012,6831780.996
11/3/2012,5531665.718
11/4/2012,6316415.415
11/5/2012,7977551.243
11/6/2012,7039514.204
11/7/2012,6855909.841
11/8/2012,6150576.493
11/9/2012,3751270.534
11/10/2012,1598712.344
11/11/2012,2256219.946
11/12/2012,1763851.126
11/13/2012,3200770.817
11/14/2012,4671719.369
11/15/2012,6118308.469
11/16/2012,3580863.262
11/17/2012,4467404.097
11/18/2012,2687082.311
11/19/2012,1665832.117
11/20/2012,2122522.281
11/21/2012,1804751.438
11/22/2012,2739620.074
11/23/2012,1915671.239
11/24/2012,1681609.593
11/25/2012,1654717.849
11/26/2012,3051066.485
11/27/2012,1863282.717
11/28/2012,3303381.961
11/29/2012,2026587.72
11/30/2012,2240394.027
12/1/2012,2305596.454
12/2/2012,2071280.644
12/3/2012,2185844.969
12/4/2012,1758714.051
12/5/2012,907486.7375
12/6/2012,2767001.955
12/7/2012,1412280.317
12/8/2012,2837431.648
12/9/2012,15745001.94
12/10/2012,21559804.04
12/11/2012,19774899.99
12/12/2012,42498202.85
12/13/2012,51072380.29
12/14/2012,42021879.25
12/15/2012,22488711.81
12/16/2012,23949605.72
12/17/2012,23099418.93
12/18/2012,17888713.12
12/19/2012,15938124.65
12/20/2012,14434207.85
12/21/2012,9462717.055
12/22/2012,8295844.168
12/23/2012,5392628.752
12/24/2012,8182301.044
12/25/2012,4067976.034
12/26/2012,5235529.768
12/27/2012,7786321.743
12/28/2012,3529503.63
12/29/2012,3357736.201
12/30/2012,5222214.105
12/31/2012,6874536.512
1/1/2013,6058293.202
1/2/2013,6458593.679
1/3/2013,5934682.768
1/4/2013,6443917.896
1/5/2013,4510940.333
1/6/2013,2617100.639
1/7/2013,5024306.503
1/8/2013,4559988.667
1/9/2013,4238449.923
1/10/2013,3115678.483
1/11/2013,3119839.496
1/12/2013,1017579.701
1/13/2013,3011236.008
1/14/2013,976372.0293
1/15/2013,2287715.726
1/16/2013,1583360.083
1/17/2013,2268055.901
1/18/2013,148034.2126
1/19/2013,1268986.073
1/20/2013,2479244.67
1/21/2013,2268460.871
1/22/2013,813906.0792
1/23/2013,1038141.945
1/24/2013,1064565.695
1/25/2013,1003055.85
1/26/2013,1474131.494
1/27/2013,876727.2276
1/28/2013,736345.5975
1/29/2013,643509.5544
1/30/2013,500436.1407
1/31/2013,1747995.516
2/1/2013,870783.5607
2/2/2013,3072645.176
2/3/2013,3615230.676
2/4/2013,525014.8843
2/5/2013,75126.9254
2/6/2013,2919504.96
2/7/2013,5007188.6
2/8/2013,5656619.191
2/9/2013,4107739.597
2/10/2013,8981936.641
2/11/2013,6893230.778
2/12/2013,6664659.737
2/13/2013,11972650.17
2/14/2013,16668286.42
2/15/2013,74341796.59
2/16/2013,40541027.97
2/17/2013,24550602.35
2/18/2013,21448628.01
2/19/2013,31107408.04
2/20/2013,12445644.17
2/21/2013,15515942.35
2/22/2013,18197415.36
2/23/2013,24632139.38
2/24/2013,19330924.65
2/25/2013,25323215.53
2/26/2013,28918503.03
2/27/2013,21277772.11
2/28/2013,16273011.39
3/1/2013,12981079.85
3/2/2013,9615868.228
3/3/2013,8785451.468
3/4/2013,7081539.696
3/5/2013,10515941.79
3/6/2013,17133218.7
3/7/2013,10944830.5
3/8/2013,6660782.265
3/9/2013,3824542.99
3/10/2013,3199069.399
3/11/2013,3936767.236
3/12/2013,2152388.73
3/13/2013,2145152.546
3/14/2013,3285024.413
3/15/2013,3543567.595
3/16/2013,2867920.855
3/17/2013,3001770.294
3/18/2013,2521341.584
3/19/2013,10430039.9
3/20/2013,12659710.97
3/21/2013,14158195.5
3/22/2013,9945816.639
3/23/2013,11220254.09
3/24/2013,18411544.98
3/25/2013,17984429.43
3/26/2013,10614880.87
3/27/2013,11533856.85
3/28/2013,7271083.593
3/29/2013,5710668.335
3/30/2013,5181761.971
3/31/2013,9453083.069
4/1/2013,6557389.633
4/2/2013,7273772.03
4/3/2013,5670199.389
4/4/2013,6953277.659
4/5/2013,9049759.236
4/6/2013,6253056.693
4/7/2013,4153487.711
4/8/2013,4245331.72
4/9/2013,3720212.831
4/10/2013,4591244.159
4/11/2013,2906386.248
4/12/2013,2570231.486
4/13/2013,3362860.536
4/14/2013,4171252.279
4/15/2013,6857392.274
4/16/2013,7453423.198
4/17/2013,8119838.537
4/18/2013,11331620.08
4/19/2013,13247768.82
4/20/2013,12723253.33
4/21/2013,15579141.21
4/22/2013,31476051.54
4/23/2013,23290579.56
4/24/2013,18123507.46
4/25/2013,20115318.54
4/26/2013,15662531.48
4/27/2013,19380672.48
4/28/2013,16366720.82
4/29/2013,13081785.18
4/30/2013,16987383.9
5/1/2013,18392940.02
5/2/2013,58138309.12
5/3/2013,42874900.11
5/4/2013,40914684.02
5/5/2013,25846204.47
5/6/2013,25029788.22
5/7/2013,23041546.97
5/8/2013,23282830.56
5/9/2013,16293054.75
5/10/2013,26623887.58
5/11/2013,28155262.95
5/12/2013,35435418.53
5/13/2013,27227100.32
5/14/2013,28637438.83
5/15/2013,27905735.36
5/16/2013,32247699.16
5/17/2013,30860513.7
5/18/2013,28944326.5
5/19/2013,38394061.48
5/20/2013,22539104.38
5/21/2013,30212848.89
5/22/2013,42166083.64
5/23/2013,49103679.77
5/24/2013,37662758.71
5/25/2013,26971618.7
5/26/2013,23208905.57
5/27/2013,23882189
5/28/2013,24711771.22
5/29/2013,24883434.84
5/30/2013,31049695.77
5/31/2013,15508123.27
6/1/2013,19762965.77
6/2/2013,27674350.87
6/3/2013,45446122.9
6/4/2013,58814227.23
6/5/2013,49458417.67
6/6/2013,241913648.6
6/7/2013,367209999.4
6/8/2013,363760277.9
6/9/2013,356168391.6
6/10/2013,308373817.7
6/11/2013,203964623.9
6/12/2013,146435949.5
6/13/2013,117886533.3
6/14/2013,105361269
6/15/2013,84913526.76
6/16/2013,71705570.54
6/17/2013,53032987.71
6/18/2013,46901517.15
6/19/2013,80319891.04
6/20/2013,123412221.6
6/21/2013,109640027.2
6/22/2013,101948555.7
6/23/2013,91541785.64
6/24/2013,79571487.23
6/25/2013,76210871.21
6/26/2013,99456861.03
6/27/2013,117490261.5
6/28/2013,104779684
6/29/2013,113199357.6
6/30/2013,153117185.1
7/1/2013,276271922.7
7/2/2013,359814354.7
7/3/2013,431144195.5
7/4/2013,430698897.9
7/5/2013,403154873.6
7/6/2013,338308286.5
7/7/2013,265065610.2
7/8/2013,189748172.9
7/9/2013,147565875.4
7/10/2013,129698771
7/11/2013,112394161.8
7/12/2013,98382733.87
7/13/2013,128727502.9
7/14/2013,148772118.3
7/15/2013,157833146.3
7/16/2013,139198630
7/17/2013,118991430.5
7/18/2013,115337502.2
7/19/2013,110710062.7
7/20/2013,103523867.9
7/21/2013,105633810.4
7/22/2013,120617216
7/23/2013,112105974.5
