date,Stage_ft,Stage_m,Storage_acft,Storage_m3,SA_acres
10/30/2022,15.84,4.828032,4353000,5369338440,451560
10/31/2022,15.865,4.835652,4364250,5383215090,451660
11/1/2022,15.8875,4.84251,4374375,5395704075,451750
11/2/2022,15.905,4.847844,4382250,5405417730,451820
11/3/2022,15.9075,4.848606,4383375,5406805395,451830
11/4/2022,15.9075,4.848606,4383375,5406805395,451830
11/5/2022,15.915,4.850892,4386750,5410968390,451860
11/6/2022,15.9125,4.85013,4385625,5409580725,451850
11/7/2022,15.8975,4.845558,4378875,5401254735,451790
11/8/2022,15.885,4.841748,4373250,5394316410,451740
11/9/2022,15.865,4.835652,4364250,5383215090,451660
11/10/2022,16.1525,4.923282,4493625,5542796565,452779.5
11/11/2022,16.19,4.934712,4510500,5563611540,452922
11/12/2022,16.205,4.939284,4517250,5571937530,452979
11/13/2022,16.2325,4.947666,4529625,5587201845,453083.5
11/14/2022,16.255,4.954524,4539750,5599690830,453169
11/15/2022,16.28,4.962144,4551000,5613567480,453264
11/16/2022,16.2975,4.967478,4558875,5623281135,453330.5
11/17/2022,16.28,4.962144,4551000,5613567480,453264
11/18/2022,16.26,4.956048,4542000,5602466160,453188
11/19/2022,16.2725,4.959858,4547625,5609404485,453235.5
11/20/2022,16.27,4.959096,4546500,5608016820,453226
11/21/2022,16.34,4.980432,4578000,5646871440,453492
11/22/2022,16.3825,4.993386,4597125,5670461745,453653.5
11/23/2022,16.415,5.003292,4611750,5688501390,453777
11/24/2022,16.44,5.010912,4623000,5702378040,453872
11/25/2022,16.4625,5.01777,4633125,5714867025,453957.5
11/26/2022,16.485,5.024628,4643250,5727356010,454043
11/27/2022,16.5225,5.036058,4660125,5748170985,454176.5
11/28/2022,16.54,5.041392,4668000,5757884640,454236
11/29/2022,16.5425,5.042154,4669125,5759272305,454244.5
11/30/2022,16.55,5.04444,4672500,5763435300,454270
12/1/2022,16.5275,5.037582,4662375,5750946315,454193.5
12/2/2022,16.53,5.038344,4663500,5752333980,454202
12/3/2022,16.525,5.03682,4661250,5749558650,454185
12/4/2022,16.5175,5.034534,4657875,5745395655,454159.5
12/5/2022,16.5125,5.03301,4655625,5742620325,454142.5
12/6/2022,16.5075,5.031486,4653375,5739844995,454125.5
12/7/2022,16.4925,5.026914,4646625,5731519005,454071.5
12/8/2022,16.4875,5.02539,4644375,5728743675,454052.5
12/9/2022,16.4775,5.022342,4639875,5723193015,454014.5
12/10/2022,16.475,5.02158,4638750,5721805350,454005
12/11/2022,16.465,5.018532,4634250,5716254690,453967
12/12/2022,16.4575,5.016246,4630875,5712091695,453938.5
12/13/2022,16.44,5.010912,4623000,5702378040,453872
12/14/2022,16.4375,5.01015,4621875,5700990375,453862.5
12/15/2022,16.455,5.015484,4629750,5710704030,453929
12/16/2022,16.47,5.020056,4636500,5719030020,453986
12/17/2022,16.4675,5.019294,4635375,5717642355,453976.5
12/18/2022,16.4625,5.01777,4633125,5714867025,453957.5
12/19/2022,16.445,5.012436,4625250,5705153370,453891
12/20/2022,16.4525,5.014722,4628625,5709316365,453919.5
12/21/2022,16.4625,5.01777,4633125,5714867025,453957.5
12/22/2022,16.4725,5.020818,4637625,5720417685,453995.5
12/23/2022,16.4725,5.020818,4637625,5720417685,453995.5
12/24/2022,16.42,5.004816,4614000,5691276720,453796
12/25/2022,16.39,4.995672,4600500,5674624740,453682
12/26/2022,16.36,4.986528,4587000,5657972760,453568
12/27/2022,16.3575,4.985766,4585875,5656585095,453558.5
12/28/2022,16.3625,4.98729,4588125,5659360425,453577.5
12/29/2022,16.3725,4.990338,4592625,5664911085,453615.5
12/30/2022,16.37,4.989576,4591500,5663523420,453606
12/31/2022,16.38,4.992624,4596000,5669074080,453644
1/1/2023,16.38,4.992624,4596000,5669074080,453644
1/2/2023,16.3725,4.990338,4592625,5664911085,453615.5
1/3/2023,16.375,4.9911,4593750,5666298750,453625
1/4/2023,16.37,4.989576,4591500,5663523420,453606
1/5/2023,16.37,4.989576,4591500,5663523420,453606
1/6/2023,16.34,4.980432,4578000,5646871440,453492
1/7/2023,16.325,4.97586,4571250,5638545450,453435
1/8/2023,16.325,4.97586,4571250,5638545450,453435
1/9/2023,16.3225,4.975098,4570125,5637157785,453425.5
1/10/2023,16.3075,4.970526,4563375,5628831795,453368.5
1/11/2023,16.285,4.963668,4553250,5616342810,453283
1/12/2023,16.2725,4.959858,4547625,5609404485,453235.5
1/13/2023,16.2525,4.953762,4538625,5598303165,453159.5
1/14/2023,16.2,4.93776,4515000,5569162200,452960
1/15/2023,16.19,4.934712,4510500,5563611540,452922
1/16/2023,16.1775,4.930902,4504875,5556673215,452874.5
1/17/2023,16.16,4.925568,4497000,5546959560,452808
1/18/2023,16.145,4.920996,4490250,5538633570,452751
1/19/2023,16.1375,4.91871,4486875,5534470575,452722.5
1/20/2023,16.1325,4.917186,4484625,5531695245,452703.5
1/21/2023,16.125,4.9149,4481250,5527532250,452675
1/22/2023,16.1275,4.915662,4482375,5528919915,452684.5
1/23/2023,16.1325,4.917186,4484625,5531695245,452703.5
