date,NH4
6/14/2010,8.767196
6/15/2010,8.875
6/16/2010,8.98597
6/17/2010,9.096939
6/18/2010,9.207908
6/19/2010,9.318877
6/20/2010,9.429847
6/21/2010,9.540816
6/22/2010,9.651786
6/23/2010,9.762755
6/24/2010,9.873724
6/25/2010,9.984694
6/26/2010,10.095663
6/27/2010,10.206633
6/28/2010,10.317602
6/29/2010,10.428571
6/30/2010,10.539541
7/1/2010,10.65051
7/2/2010,10.76148
7/3/2010,10.872449
7/4/2010,10.983418
7/5/2010,11.094388
7/6/2010,11.205357
7/7/2010,11.316327
7/8/2010,11.427296
7/9/2010,11.538265
7/10/2010,11.649235
7/11/2010,11.760204
7/12/2010,11.871173
7/13/2010,11.872904
7/14/2010,11.888665
7/15/2010,11.904426
7/16/2010,11.920188
7/17/2010,11.935949
7/18/2010,11.95171
7/19/2010,11.967471
7/20/2010,11.983233
7/21/2010,11.998994
7/22/2010,12.014755
7/23/2010,12.030516
7/24/2010,12.046278
7/25/2010,12.062039
7/26/2010,12.0778
7/27/2010,12.093561
7/28/2010,12.109323
7/29/2010,12.125084
7/30/2010,12.140845
7/31/2010,12.156606
8/1/2010,12.172368
8/2/2010,12.188129
8/3/2010,12.20389
8/4/2010,12.219651
8/5/2010,12.235412
8/6/2010,12.251174
8/7/2010,12.266935
8/8/2010,12.282696
8/9/2010,12.298457
8/10/2010,12.314219
8/11/2010,12.32998
8/12/2010,12.345741
8/13/2010,12.361502
8/14/2010,12.377264
8/15/2010,12.393025
8/16/2010,12.408786
8/17/2010,12.424547
8/18/2010,12.440309
8/19/2010,12.45607
8/20/2010,12.471831
8/21/2010,12.487592
8/22/2010,12.503353
8/23/2010,12.519115
8/24/2010,12.451953
8/25/2010,12.384792
8/26/2010,12.345102
8/27/2010,12.305413
8/28/2010,12.265724
8/29/2010,12.226035
8/30/2010,12.186346
8/31/2010,12.146657
9/1/2010,12.106968
9/2/2010,12.067279
9/3/2010,12.02759
9/4/2010,11.987901
9/5/2010,11.948212
9/6/2010,11.908523
9/7/2010,11.868834
9/8/2010,11.829145
9/9/2010,11.789455
9/10/2010,11.749766
9/11/2010,11.710077
9/12/2010,11.670388
9/13/2010,11.630699
9/14/2010,11.59101
9/15/2010,11.551321
9/16/2010,11.511632
9/17/2010,11.471943
9/18/2010,11.432254
9/19/2010,11.392565
9/20/2010,11.352876
9/21/2010,11.285714
9/22/2010,11.290476
9/23/2010,11.295238
9/24/2010,11.3
9/25/2010,11.304762
9/26/2010,11.309524
9/27/2010,11.314286
9/28/2010,11.319048
9/29/2010,11.32381
9/30/2010,11.328571
10/1/2010,11.333333
10/2/2010,11.338095
10/3/2010,11.342857
10/4/2010,11.347619
10/5/2010,11.352381
10/6/2010,11.357143
10/7/2010,11.361905
10/8/2010,11.366667
10/9/2010,11.371428
10/10/2010,11.376191
