Date,ETVol_acft
2-Jan-02,2854
3-Jan-02,2587
4-Jan-02,3390
5-Jan-02,2877
6-Jan-02,3337
7-Jan-02,2932
8-Jan-02,3617
9-Jan-02,3452
10-Jan-02,3023
11-Jan-02,3329
12-Jan-02,3342
13-Jan-02,3201
14-Jan-02,2944
15-Jan-02,2458
16-Jan-02,3343
17-Jan-02,3162
18-Jan-02,4117
19-Jan-02,4255
20-Jan-02,4228
21-Jan-02,4328
22-Jan-02,3891
23-Jan-02,4665
24-Jan-02,4820
25-Jan-02,4565
26-Jan-02,3355
27-Jan-02,3307
28-Jan-02,3950
29-Jan-02,4101
30-Jan-02,4105
31-Jan-02,4480
1-Feb-02,4071
2-Feb-02,3777
3-Feb-02,3793
4-Feb-02,5462
5-Feb-02,3914
6-Feb-02,4545
7-Feb-02,4961
8-Feb-02,4027
9-Feb-02,2792
10-Feb-02,3069
11-Feb-02,3358
12-Feb-02,4215
13-Feb-02,3157
14-Feb-02,2470
15-Feb-02,2742
16-Feb-02,1990
17-Feb-02,5213
18-Feb-02,4475
19-Feb-02,5501
20-Feb-02,5576
21-Feb-02,4950
22-Feb-02,3914
23-Feb-02,2655
24-Feb-02,5455
25-Feb-02,5065
26-Feb-02,4862
27-Feb-02,4350
28-Feb-02,4460
1-Mar-02,3154
2-Mar-02,5291
3-Mar-02,5384
4-Mar-02,3306
5-Mar-02,3899
6-Mar-02,2389
7-Mar-02,3750
8-Mar-02,5031
9-Mar-02,5060
10-Mar-02,5652
11-Mar-02,5532
12-Mar-02,3182
13-Mar-02,5847
14-Mar-02,5866
15-Mar-02,5981
16-Mar-02,6433
17-Mar-02,6305
18-Mar-02,6086
19-Mar-02,6710
20-Mar-02,6325
21-Mar-02,5869
22-Mar-02,4710
23-Mar-02,5577
24-Mar-02,6629
25-Mar-02,4264
26-Mar-02,5275
27-Mar-02,5775
28-Mar-02,5910
29-Mar-02,4585
30-Mar-02,6203
31-Mar-02,5585
1-Apr-02,5578
2-Apr-02,4599
3-Apr-02,4704
4-Apr-02,5560
5-Apr-02,6190
6-Apr-02,5227
7-Apr-02,5564
8-Apr-02,6242
9-Apr-02,5466
10-Apr-02,6040
11-Apr-02,5395
12-Apr-02,3943
13-Apr-02,3823
14-Apr-02,3638
15-Apr-02,4989
16-Apr-02,4362
17-Apr-02,4601
18-Apr-02,5782
19-Apr-02,6056
20-Apr-02,6509
21-Apr-02,6592
22-Apr-02,6707
23-Apr-02,6752
24-Apr-02,6145
25-Apr-02,6386
26-Apr-02,6395
27-Apr-02,7059
28-Apr-02,7344
29-Apr-02,6966
30-Apr-02,6427
1-May-02,8442
2-May-02,8641
3-May-02,8426
4-May-02,8113
5-May-02,7896
6-May-02,7228
7-May-02,7022
8-May-02,7772
9-May-02,6854
10-May-02,6568
11-May-02,6272
12-May-02,6005
13-May-02,6604
14-May-02,5737
15-May-02,6909
16-May-02,5136
17-May-02,5640
18-May-02,5963
19-May-02,4148
20-May-02,3256
21-May-02,4110
22-May-02,4723
23-May-02,5806
24-May-02,6895
25-May-02,6887
26-May-02,6599
27-May-02,5158
28-May-02,5485
29-May-02,5784
30-May-02,5091
31-May-02,5767
1-Jun-02,8562
2-Jun-02,8695
3-Jun-02,9955
4-Jun-02,9422
5-Jun-02,7654
6-Jun-02,6828
7-Jun-02,6446
8-Jun-02,7654
9-Jun-02,8038
10-Jun-02,7841
11-Jun-02,7085
12-Jun-02,6370
13-Jun-02,6882
14-Jun-02,7684
15-Jun-02,6441
16-Jun-02,6466
17-Jun-02,7079
18-Jun-02,7033
19-Jun-02,7761
20-Jun-02,6078
21-Jun-02,6738
22-Jun-02,6575
23-Jun-02,6526
24-Jun-02,6552
25-Jun-02,6323
26-Jun-02,6511
27-Jun-02,6860
28-Jun-02,6959
29-Jun-02,7558
30-Jun-02,6297
1-Jul-02,5469
2-Jul-02,6330
3-Jul-02,7462
4-Jul-02,6944
5-Jul-02,6758
6-Jul-02,6134
7-Jul-02,7286
8-Jul-02,6147
9-Jul-02,6127
10-Jul-02,6077
11-Jul-02,6103
12-Jul-02,6512
13-Jul-02,7382
14-Jul-02,7943
15-Jul-02,6548
16-Jul-02,6400
17-Jul-02,7527
18-Jul-02,7148
19-Jul-02,7733
20-Jul-02,6602
21-Jul-02,6568
22-Jul-02,6875
23-Jul-02,7380
24-Jul-02,7256
25-Jul-02,7664
26-Jul-02,7478
27-Jul-02,7690
28-Jul-02,7605
29-Jul-02,7941
30-Jul-02,8118
31-Jul-02,7842
1-Aug-02,7615
2-Aug-02,7252
3-Aug-02,6776
4-Aug-02,6565
5-Aug-02,6980
6-Aug-02,7211
7-Aug-02,6932
