Date,INDUST_cms,INDUST_cmd
5/3/2010,0.509703239,44038.35985
5/4/2010,1.925545569,166367.1372
5/5/2010,2.690100428,232424.677
5/6/2010,1.359208637,117435.6262
5/7/2010,0,0
5/8/2010,0,0
5/9/2010,0,0
5/10/2010,0.012176244,1052.027482
5/11/2010,0,0
5/12/2010,0.184059503,15902.74106
5/13/2010,0.566336932,48931.51092
5/14/2010,1.84059503,159027.4106
5/15/2010,1.67069395,144347.9573
5/16/2010,1.359208637,117435.6262
5/17/2010,0.651287472,56271.23758
5/18/2010,0.311485313,26912.33104
5/19/2010,0,0
5/20/2010,0.651287472,56271.23758
5/21/2010,0.566336932,48931.51092
5/22/2010,1.84059503,159027.4106
5/23/2010,0.962772785,83183.56862
5/24/2010,2.095446649,181046.5905
5/25/2010,1.104357018,95416.44636
5/26/2010,0.991089631,85630.14412
5/27/2010,3.454655286,298482.2167
5/28/2010,3.001585741,259337.008
5/29/2010,0.707921165,61164.38866
5/30/2010,1.019406478,88076.7197
5/31/2010,0,0
6/1/2010,0,0
6/2/2010,0,0
6/3/2010,0,0
6/4/2010,0,0
6/5/2010,0,0
